"","date","Mo","Yr","Apps"
"1",Aug 2017,8,2017,1
"2",Sep 2017,9,2017,0
"3",Oct 2017,10,2017,0
"4",Nov 2017,11,2017,4
"5",Dec 2017,12,2017,4
"6",Jan 2018,1,2018,4
"7",Feb 2018,2,2018,5
"8",Mar 2018,3,2018,9
"9",Apr 2018,4,2018,5
"10",May 2018,5,2018,7
"11",Jun 2018,6,2018,5
"12",Jul 2018,7,2018,5
"13",Aug 2018,8,2018,5
"14",Sep 2018,9,2018,0
"15",Oct 2018,10,2018,0
"16",Nov 2018,11,2018,0
"17",Dec 2018,12,2018,0
"18",Jan 2019,1,2019,0
"19",Feb 2019,2,2019,0
"20",Mar 2019,3,2019,0
"21",Apr 2019,4,2019,0
"22",May 2019,5,2019,0
"23",Jun 2019,6,2019,0
"24",Jul 2019,7,2019,0
"25",Aug 2019,8,2019,0
"26",Sep 2019,9,2019,0
"27",Oct 2019,10,2019,0
"28",Nov 2019,11,2019,1
"29",Dec 2019,12,2019,0
"30",Jan 2020,1,2020,0
"31",Feb 2020,2,2020,1
